customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,engagement_score,charges_per_month,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
CUST-00000,Male,0,No,No,18,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,23.58,440.97,0,12-24 months,4,24.498333333333335,53,4,440.97,2,3,1,6,Potential Loyalists
CUST-00001,Female,0,No,Yes,51,Yes,No,No,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,21.6,1120.68,0,48+ months,4,21.974117647058826,20,4,1120.68,5,3,3,11,Loyal Customers
CUST-00002,Male,0,Yes,No,22,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No,No,One year,No,Bank transfer (automatic),93.49,2154.81,0,12-24 months,2,97.94590909090908,49,2,2154.81,3,1,4,8,Potential Loyalists
CUST-00003,Male,0,No,No,24,Yes,Yes,DSL,Yes,Yes,No,No internet service,Yes,No,One year,Yes,Electronic check,35.17,804.17,0,12-24 months,5,33.507083333333334,47,5,804.17,3,5,2,10,Loyal Customers
CUST-00004,Male,1,No,Yes,17,Yes,No,DSL,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.09,1420.4,0,12-24 months,4,83.5529411764706,54,4,1420.4,2,3,3,8,Potential Loyalists
CUST-00005,Male,0,Yes,No,14,No,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,52.07,685.85,0,12-24 months,3,48.989285714285714,57,3,685.85,2,2,2,6,Potential Loyalists
CUST-00006,Male,0,Yes,No,1,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,41.86,83.54,1,0-12 months,5,83.54,70,5,83.54,1,5,1,7,Potential Loyalists
CUST-00007,Male,0,No,No,61,Yes,Yes,No,No,No internet service,No internet service,No,Yes,No internet service,Two year,Yes,Credit card (automatic),40.61,2509.14,0,48+ months,3,41.13344262295082,10,3,2509.14,5,2,4,11,Loyal Customers
CUST-00008,Male,0,Yes,Yes,29,No,No,No,No internet service,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,27.27,778.56,0,24-48 months,4,26.846896551724136,42,4,778.56,4,3,2,9,Loyal Customers
CUST-00009,Female,0,Yes,No,21,Yes,Yes,No,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),94.6,2051.49,0,12-24 months,4,97.68999999999998,50,4,2051.49,3,3,4,10,Loyal Customers
